product_id,row0,col0,mean_dn,frac_zero,frac_sat,sobel_99,passes,reject_reason
ch2_ohr_nrp_20210405T1606537227_d_img_d18,14015,1761,39.84434509277344,0.0,0.0,59.31606674194336,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,14015,5872,39.93757629394531,0.0,0.0,63.639610290527344,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,14015,9982,42.933319091796875,0.0,0.0,66.48307800292969,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,35817,1761,44.2509765625,0.0,0.0,62.513999938964844,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,35817,5872,41.837371826171875,0.0,0.0,60.0333251953125,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,35817,9982,57.44432067871094,0.0,0.0,70.9168472290039,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,57618,1761,41.00396728515625,0.0,0.0,69.52696990966797,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,57618,5872,46.31126403808594,0.0,0.0,67.18630981445312,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,57618,9982,44.71331787109375,0.0,0.0,72.18032836914062,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,79420,1761,41.0172119140625,0.0,0.0,58.18934631347656,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,79420,5872,37.66523742675781,0.0,0.0,56.56854248046875,True,
ch2_ohr_nrp_20210405T1606537227_d_img_d18,79420,9982,37.33106994628906,0.0,0.0,57.723480224609375,True,
ch2_ohr_nrp_20241118T1613209337_d_img_d18,15121,1761,93.70729064941406,0.0,0.0,143.95309448242188,True,
ch2_ohr_nrp_20241118T1613209337_d_img_d18,15121,5872,9.649810791015625,0.0,0.0,10.0,False,flat_shadow(mean<20.0&sobel99<25.0)
ch2_ohr_nrp_20241118T1613209337_d_img_d18,15121,9982,9.0072021484375,0.0,0.0,6.0,False,flat_shadow(mean<20.0&sobel99<25.0)
ch2_ohr_nrp_20241118T1613209337_d_img_d18,38642,1761,32.60334777832031,0.0,0.0,121.82774353027344,True,
ch2_ohr_nrp_20241118T1613209337_d_img_d18,38642,5872,58.32090759277344,0.0,0.0,146.07119750976562,True,
ch2_ohr_nrp_20241118T1613209337_d_img_d18,38642,9982,45.34600830078125,0.0,0.0,119.68165588378906,True,
ch2_ohr_nrp_20241118T1613209337_d_img_d18,62164,1761,26.408981323242188,0.0,0.0,109.371826171875,True,
ch2_ohr_nrp_20241118T1613209337_d_img_d18,62164,5872,15.760635375976562,0.0,0.0,87.92041778564453,True,
ch2_ohr_nrp_20241118T1613209337_d_img_d18,62164,9982,75.58998107910156,0.0,0.0,161.6712646484375,True,
ch2_ohr_nrp_20241118T1613209337_d_img_d18,85685,1761,2.7346649169921875,0.00390625,0.0,11.045360565185547,False,mean_dn<5.0
ch2_ohr_nrp_20241118T1613209337_d_img_d18,85685,5872,2.9453125,0.0037078857421875,0.0,10.0,False,mean_dn<5.0
ch2_ohr_nrp_20241118T1613209337_d_img_d18,85685,9982,14.178863525390625,0.0,0.0,99.1458511352539,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,11931,1761,109.17498779296875,0.0,0.0,70.41588592529297,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,11931,5872,112.04234313964844,0.0,0.0,62.801273345947266,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,11931,9982,103.99757385253906,0.0,0.0,70.21395874023438,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,30490,1761,104.5107421875,0.0,0.0,61.400325775146484,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,30490,5872,110.55332946777344,0.0,0.0,80.30254364013672,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,30490,9982,103.64842224121094,0.0,0.0,87.46427917480469,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,49049,1761,93.52275085449219,0.0,0.0,59.22246170043945,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,49049,5872,105.46139526367188,0.0,0.0,59.07622146606445,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,49049,9982,99.04924011230469,0.0,0.0,72.73238372802734,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,67609,1761,93.18357849121094,0.0,0.0,50.9695930480957,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,67609,5872,93.50668334960938,0.0,0.0,50.990196228027344,True,
ch2_ohr_nrp_20250612T2031048828_d_img_d18,67609,9982,96.19078063964844,0.0,0.0,63.936683654785156,True,
